Word Length       Count
1                 15                            
2                 74                            
3                 92                            
4                 51                            
5                 47                            
6                 45                            
7                 42                            
8                 21                            
9                 26                            
10                13                            
11                15                            
12                5                             
13                5                             
14                1                             
20                1                             
